sensor_id,name,code,type,unit,equipment_id,zone_id,min_value,max_value,threshold_warning,threshold_critical
SEN-EQ-COB-1-1,Coke Oven Battery Compressor 1 Oxygen Sensor,SEN-EQ-COB-1-1,oxygen,%,EQ-COB-1,Z-1,0.0,25.0,19.5,18.0
SEN-EQ-COB-1-2,Coke Oven Battery Compressor 1 Combustible gas Sensor,SEN-EQ-COB-1-2,combustible_gas,LEL%,EQ-COB-1,Z-1,0.0,100.0,20.0,40.0
SEN-EQ-COB-1-3,Coke Oven Battery Compressor 1 Toxic gas Sensor,SEN-EQ-COB-1-3,toxic_gas,ppm,EQ-COB-1,Z-1,0.0,200.0,35.0,100.0
SEN-EQ-COB-1-4,Coke Oven Battery Compressor 1 Pressure Sensor,SEN-EQ-COB-1-4,pressure,bar,EQ-COB-1,Z-1,0.0,100.0,70.0,90.0
SEN-EQ-COB-2-1,Coke Oven Battery Steam Boiler 2 Pressure Sensor,SEN-EQ-COB-2-1,pressure,bar,EQ-COB-2,Z-1,0.0,100.0,70.0,90.0
SEN-EQ-COB-2-2,Coke Oven Battery Steam Boiler 2 Temperature Sensor,SEN-EQ-COB-2-2,temperature,°C,EQ-COB-2,Z-1,0.0,1000.0,800.0,950.0
SEN-EQ-COB-3-1,Coke Oven Battery Compressor 3 Temperature Sensor,SEN-EQ-COB-3-1,temperature,°C,EQ-COB-3,Z-1,0.0,1000.0,800.0,950.0
SEN-EQ-COB-3-2,Coke Oven Battery Compressor 3 Toxic gas Sensor,SEN-EQ-COB-3-2,toxic_gas,ppm,EQ-COB-3,Z-1,0.0,200.0,35.0,100.0
SEN-EQ-COB-4-1,Coke Oven Battery Extractor Fan 4 Temperature Sensor,SEN-EQ-COB-4-1,temperature,°C,EQ-COB-4,Z-1,0.0,1000.0,800.0,950.0
SEN-EQ-COB-4-2,Coke Oven Battery Extractor Fan 4 Toxic gas Sensor,SEN-EQ-COB-4-2,toxic_gas,ppm,EQ-COB-4,Z-1,0.0,200.0,35.0,100.0
SEN-EQ-COB-4-3,Coke Oven Battery Extractor Fan 4 Combustible gas Sensor,SEN-EQ-COB-4-3,combustible_gas,LEL%,EQ-COB-4,Z-1,0.0,100.0,20.0,40.0
SEN-EQ-COB-5-1,Coke Oven Battery Steam Boiler 5 Ventilation Sensor,SEN-EQ-COB-5-1,ventilation,%,EQ-COB-5,Z-1,0.0,100.0,70.0,50.0
SEN-EQ-COB-5-2,Coke Oven Battery Steam Boiler 5 Pressure Sensor,SEN-EQ-COB-5-2,pressure,bar,EQ-COB-5,Z-1,0.0,100.0,70.0,90.0
SEN-EQ-COB-5-3,Coke Oven Battery Steam Boiler 5 Combustible gas Sensor,SEN-EQ-COB-5-3,combustible_gas,LEL%,EQ-COB-5,Z-1,0.0,100.0,20.0,40.0
SEN-EQ-COB-6-1,Coke Oven Battery Valve Block 6 Vibration Sensor,SEN-EQ-COB-6-1,vibration,mm/s,EQ-COB-6,Z-1,0.0,20.0,5.0,10.0
SEN-EQ-COB-6-2,Coke Oven Battery Valve Block 6 Pressure Sensor,SEN-EQ-COB-6-2,pressure,bar,EQ-COB-6,Z-1,0.0,100.0,70.0,90.0
SEN-EQ-COB-7-1,Coke Oven Battery Storage Tank 7 Combustible gas Sensor,SEN-EQ-COB-7-1,combustible_gas,LEL%,EQ-COB-7,Z-1,0.0,100.0,20.0,40.0
SEN-EQ-COB-7-2,Coke Oven Battery Storage Tank 7 Toxic gas Sensor,SEN-EQ-COB-7-2,toxic_gas,ppm,EQ-COB-7,Z-1,0.0,200.0,35.0,100.0
SEN-EQ-BF-1-1,Blast Furnace Valve Block 1 Temperature Sensor,SEN-EQ-BF-1-1,temperature,°C,EQ-BF-1,Z-2,0.0,1000.0,800.0,950.0
SEN-EQ-BF-1-2,Blast Furnace Valve Block 1 Ventilation Sensor,SEN-EQ-BF-1-2,ventilation,%,EQ-BF-1,Z-2,0.0,100.0,70.0,50.0
SEN-EQ-BF-2-1,Blast Furnace Steam Boiler 2 Toxic gas Sensor,SEN-EQ-BF-2-1,toxic_gas,ppm,EQ-BF-2,Z-2,0.0,200.0,35.0,100.0
SEN-EQ-BF-2-2,Blast Furnace Steam Boiler 2 Temperature Sensor,SEN-EQ-BF-2-2,temperature,°C,EQ-BF-2,Z-2,0.0,1000.0,800.0,950.0
SEN-EQ-BF-2-3,Blast Furnace Steam Boiler 2 Combustible gas Sensor,SEN-EQ-BF-2-3,combustible_gas,LEL%,EQ-BF-2,Z-2,0.0,100.0,20.0,40.0
SEN-EQ-BF-3-1,Blast Furnace Valve Block 3 Temperature Sensor,SEN-EQ-BF-3-1,temperature,°C,EQ-BF-3,Z-2,0.0,1000.0,800.0,950.0
SEN-EQ-BF-3-2,Blast Furnace Valve Block 3 Combustible gas Sensor,SEN-EQ-BF-3-2,combustible_gas,LEL%,EQ-BF-3,Z-2,0.0,100.0,20.0,40.0
SEN-EQ-BF-4-1,Blast Furnace Conveyor Belt 4 Oxygen Sensor,SEN-EQ-BF-4-1,oxygen,%,EQ-BF-4,Z-2,0.0,25.0,19.5,18.0
SEN-EQ-BF-4-2,Blast Furnace Conveyor Belt 4 Temperature Sensor,SEN-EQ-BF-4-2,temperature,°C,EQ-BF-4,Z-2,0.0,1000.0,800.0,950.0
SEN-EQ-BF-4-3,Blast Furnace Conveyor Belt 4 Ventilation Sensor,SEN-EQ-BF-4-3,ventilation,%,EQ-BF-4,Z-2,0.0,100.0,70.0,50.0
SEN-EQ-BF-5-1,Blast Furnace Turbine Generator 5 Vibration Sensor,SEN-EQ-BF-5-1,vibration,mm/s,EQ-BF-5,Z-2,0.0,20.0,5.0,10.0
SEN-EQ-BF-5-2,Blast Furnace Turbine Generator 5 Ventilation Sensor,SEN-EQ-BF-5-2,ventilation,%,EQ-BF-5,Z-2,0.0,100.0,70.0,50.0
SEN-EQ-BF-5-3,Blast Furnace Turbine Generator 5 Pressure Sensor,SEN-EQ-BF-5-3,pressure,bar,EQ-BF-5,Z-2,0.0,100.0,70.0,90.0
SEN-EQ-GS-1-1,Gas Storage Facility Compressor 1 Vibration Sensor,SEN-EQ-GS-1-1,vibration,mm/s,EQ-GS-1,Z-3,0.0,20.0,5.0,10.0
SEN-EQ-GS-1-2,Gas Storage Facility Compressor 1 Temperature Sensor,SEN-EQ-GS-1-2,temperature,°C,EQ-GS-1,Z-3,0.0,1000.0,800.0,950.0
SEN-EQ-GS-1-3,Gas Storage Facility Compressor 1 Toxic gas Sensor,SEN-EQ-GS-1-3,toxic_gas,ppm,EQ-GS-1,Z-3,0.0,200.0,35.0,100.0
SEN-EQ-GS-1-4,Gas Storage Facility Compressor 1 Pressure Sensor,SEN-EQ-GS-1-4,pressure,bar,EQ-GS-1,Z-3,0.0,100.0,70.0,90.0
SEN-EQ-GS-2-1,Gas Storage Facility Conveyor Belt 2 Toxic gas Sensor,SEN-EQ-GS-2-1,toxic_gas,ppm,EQ-GS-2,Z-3,0.0,200.0,35.0,100.0
SEN-EQ-GS-2-2,Gas Storage Facility Conveyor Belt 2 Combustible gas Sensor,SEN-EQ-GS-2-2,combustible_gas,LEL%,EQ-GS-2,Z-3,0.0,100.0,20.0,40.0
SEN-EQ-GS-2-3,Gas Storage Facility Conveyor Belt 2 Pressure Sensor,SEN-EQ-GS-2-3,pressure,bar,EQ-GS-2,Z-3,0.0,100.0,70.0,90.0
SEN-EQ-GS-3-1,Gas Storage Facility Extractor Fan 3 Pressure Sensor,SEN-EQ-GS-3-1,pressure,bar,EQ-GS-3,Z-3,0.0,100.0,70.0,90.0
