zone_id,name,code,coordinates
Z-1,Coke Oven Battery,ZONE-COB,"100,100 250,100 250,220 100,220"
Z-2,Blast Furnace,ZONE-BF,"260,100 410,100 410,220 260,220"
Z-3,Gas Storage Facility,ZONE-GS,"420,100 570,100 570,220 420,220"
Z-4,Boiler House,ZONE-BH,"580,100 730,100 730,220 580,220"
Z-5,Maintenance Workshop,ZONE-MW,"100,230 250,230 250,350 100,350"
Z-6,Compressor Station,ZONE-CS,"260,230 410,230 410,350 260,350"
Z-7,Raw Material Handling,ZONE-RMH,"420,230 570,230 570,350 420,350"
Z-8,Warehouse Logistics,ZONE-WH,"580,230 730,230 730,350 580,350"
Z-9,Utilities Area,ZONE-UA,"100,360 410,360 410,480 100,480"
Z-10,Control Room Hub,ZONE-CR,"420,360 730,360 730,480 420,480"
